date,temp_max,temp_min,precipitation,wind_max,humidity_max,cloudcover,city,lat,lon
2018-01-01,25.6,14.9,0.0,20.6,93,56,Miami,25.7617,-80.1918
2018-01-02,22.0,15.9,20.7,39.0,93,92,Miami,25.7617,-80.1918
2018-01-03,19.6,11.8,5.6,34.1,98,47,Miami,25.7617,-80.1918
2018-01-04,14.6,5.7,0.0,23.5,67,17,Miami,25.7617,-80.1918
2018-01-05,15.3,6.2,0.0,20.5,81,5,Miami,25.7617,-80.1918
2018-01-06,19.9,9.8,0.3,27.8,79,20,Miami,25.7617,-80.1918
2018-01-07,21.5,11.8,1.1,32.4,78,29,Miami,25.7617,-80.1918
2018-01-08,24.0,19.0,1.8,25.3,88,82,Miami,25.7617,-80.1918
2018-01-09,22.3,20.0,70.1,14.3,96,87,Miami,25.7617,-80.1918
2018-01-10,22.3,18.4,9.1,10.7,96,98,Miami,25.7617,-80.1918
2018-01-11,24.8,19.5,1.6,16.8,95,27,Miami,25.7617,-80.1918
2018-01-12,25.0,21.5,11.5,27.6,94,49,Miami,25.7617,-80.1918
2018-01-13,23.5,16.1,0.0,20.5,96,32,Miami,25.7617,-80.1918
2018-01-14,20.5,11.8,0.0,28.4,81,85,Miami,25.7617,-80.1918
2018-01-15,21.9,11.6,0.6,29.5,93,92,Miami,25.7617,-80.1918
2018-01-16,22.5,17.0,0.0,29.9,70,59,Miami,25.7617,-80.1918
2018-01-17,23.5,15.1,0.0,25.2,79,98,Miami,25.7617,-80.1918
2018-01-18,15.7,6.4,0.0,26.4,76,64,Miami,25.7617,-80.1918
2018-01-19,20.2,9.7,0.1,18.1,84,96,Miami,25.7617,-80.1918
2018-01-20,22.5,17.5,0.6,17.7,79,95,Miami,25.7617,-80.1918
2018-01-21,24.5,20.8,1.2,22.6,84,59,Miami,25.7617,-80.1918
2018-01-22,25.0,22.0,0.5,21.3,88,51,Miami,25.7617,-80.1918
2018-01-23,25.7,21.6,5.1,19.4,96,84,Miami,25.7617,-80.1918
2018-01-24,24.5,20.2,1.3,17.4,97,77,Miami,25.7617,-80.1918
2018-01-25,23.1,19.8,0.0,34.7,87,73,Miami,25.7617,-80.1918
2018-01-26,23.1,20.6,0.4,38.2,71,87,Miami,25.7617,-80.1918
2018-01-27,24.8,21.1,0.2,35.6,74,80,Miami,25.7617,-80.1918
2018-01-28,25.2,22.5,0.8,31.0,81,82,Miami,25.7617,-80.1918
2018-01-29,25.0,21.0,13.9,25.8,93,88,Miami,25.7617,-80.1918
2018-01-30,20.6,13.2,0.0,29.1,89,72,Miami,25.7617,-80.1918
2018-01-31,20.5,13.0,0.0,27.2,82,85,Miami,25.7617,-80.1918
2018-02-01,23.6,19.1,0.0,17.0,79,49,Miami,25.7617,-80.1918
2018-02-02,24.5,17.7,0.2,15.1,88,72,Miami,25.7617,-80.1918
2018-02-03,23.0,19.5,2.2,28.4,89,62,Miami,25.7617,-80.1918
2018-02-04,24.6,21.2,1.3,22.6,90,68,Miami,25.7617,-80.1918
2018-02-05,26.0,20.4,1.2,24.6,95,56,Miami,25.7617,-80.1918
